Team,Team3,Team4,
Fresno State,FRS,FRES,
Furman,FUR,FURM,
Gardner-Webb,GWB,GWEB,
George Mason,GMU,GEOM,
George Washington,GWU,GEOW,
Georgetown,GRG,GTWN,
Georgia,UGA,GEOR,
Georgia Southern,GSO,GASO,
Georgia State,GAS,GAST,
Georgia Tech,GAT,GATC,
Gonzaga,GON,GONZ,
Grambling State,GRA,GRAM,
Grand Canyon,GCN,GCAN,
Hampton,HAM,HAMP,
Hartford,HRT,HART,
Harvard,HAR,HARV,
Hawaii,UHI,HAWI,
High Point,HPU,HPNT,
Hofstra,HOF,HOFS,
Holy Cross,HCR,HCRS,
Houston,HOU,HOUS,
Houston Baptist,HBP,HBAP,
Howard,HOW,HOWA,
Idaho,UID,IDAH,
Idaho State,IDS,IDST,
Illinois,UIL,ILLI,
Illinois State,ILS,ILST,
Illinois-Chicago,ILC,ILCH,
Incarnate Word,ICW,INCW,
Indiana,UIN,INDI,
Indiana State,INS,INST,
Iona,ION,IONA,
Iowa,UIA,IOWA,
Iowa State,IAS,IAST,
IPFW,IFW,IPFW,
IUPUI,IUP,IUPI,
Jackson State,JCK,JCKS,
Jacksonville,JAX,JAXU,
Jacksonville State,JXS,JAXS,
James Madison,JMD,JMAD,
Kansas,UKS,KANS,
Kansas State,KSS,KSST,
Kennesaw State,KSW,KENN,
Kent State,KNT,KNTS,
Kentucky,UKY,KENT,
La Salle,LSL,LASL,
Lafayette,LAF,LAFY,
Lamar,LMR,LAMR,
Lehigh,LEH,LEHI,
Liberty,LIB,LIBR,
Lipscomb,LIP,LIPS,
Long Beach State,LBS,LBST,
Long Island,LIU,LISL,
Longwood,LNG,LONG,
Louisiana Lafayette,LAL,LALF,
Louisiana Monroe,LAM,LAMN,
Louisiana State,LAS,LAST,
Louisiana Tech,LAT,LATC,
Louisville,LOU,LOUI,
Loyola Chicago,LLC,LLCH,
Loyola Maryland,LLM,LLMD,
Loyola Marymount,LMU,LLMT,
Maine,UME,MAIN,
Manhattan,MAN,MANH,
Marist,MRS,MARI,
Marquette,MRQ,MARQ,
Marshall,MAR,MARS,
Maryland,UMD,MARY,
Maryland Baltimore County,MBC,MDBC,
Maryland Eastern Shore,MES,MDES,
Massachusetts,UMA,MASS,
Massachusetts-Lowell,MAL,MALO,
McNeese State,MCN,MCNS,
Memphis,MEM,MEMP,
Mercer,MER,MERC,
Miami (FL),MFL,MIAF,
Miami (OH),MOH,MIAO,
Michigan,UMI,MICH,
Michigan State,MIS,MIST,
Middle Tennessee State,MTN,MTEN,
Minnesota,UMN,MINN,
Mississippi,UMS,OLMS,
Mississippi State,MSS,MSST,
Mississippi Valley State,MSV,MSVS,
